date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1
1/14/2015,733520.0,,998919,1135802,1117885,194657,363369,450903,253413.0,1297851,34428.0,786609.0,463894.0,479.0,449270.0,1307038.0,1307038.0,5667612.0,19231535.0,2080656,208539,468781.0,5060328.0,1135802,786181,,308760,11364.0,998919,194657,1036955,183069,4505862,11364.0
1/15/2015,1180523.0,,1399422,1429190,1339480,374516,319464,478588,350398.0,1519883,36586.0,601668.0,515987.0,363.0,411969.0,1568607.0,1568607.0,4808180.0,26368504.0,2143202,190850,480324.0,3015638.0,1429190,750476,,416845,20182.0,1399422,374516,1409295,254571,6763342,20182.0
1/16/2015,755430.0,,1052637,1429612,918260,356259,804890,1209599,322668.0,1553227,21713.0,887590.0,452212.0,1038.0,434839.0,1448240.0,1448240.0,5978590.0,28183977.0,1820567,140409,320774.0,2449753.0,1429612,2554611,,363118,49370.0,1052637,356259,1696943,251125,5103184,49370.0
1/19/2015,437608.0,,779001,1222844,1145715,232237,207871,490006,219328.0,484818,59640.0,449522.0,883436.0,1027.0,321447.0,1396116.0,1396116.0,2953517.0,17643935.0,1168553,106959,254014.0,1775018.0,1222844,1626246,,265099,10845.0,779001,232237,1044029,256624,4306708,10845.0
1/20/2015,538122.0,,1021065,2282586,1370785,321390,265014,390382,229346.0,888100,42700.0,911689.0,556899.0,713.0,274689.0,1221485.0,1221485.0,5690844.0,19680726.0,2293138,115683,472581.0,2532560.0,2282586,1421709,,245784,5551.0,1021065,321390,1210706,209015,4828126,5551.0
1/21/2015,778920.0,,1080474,4344722,1610505,222831,226865,288763,232323.0,687334,30091.0,509668.0,598346.0,570.0,257103.0,1203652.0,1203652.0,6343661.0,23892023.0,2705196,128971,418369.0,2194273.0,4344722,1033783,,412985,66692.0,1080474,222831,1721740,250119,7863161,66692.0
1/22/2015,865537.0,,1481013,2999497,1081940,400789,382370,585689,594064.0,1062390,48481.0,1077922.0,705027.0,615.0,441012.0,2140848.0,2140848.0,9084144.0,46141499.0,2542259,177033,914505.0,2876756.0,2999497,1080412,,572796,11441.0,1481013,400789,1491782,274895,8324586,11441.0
1/23/2015,1089140.0,,1528440,2622526,1162140,334788,447034,1022533,1056255.0,1111298,36010.0,789464.0,801998.0,2477.0,496642.0,2598496.0,2598496.0,9020085.0,54058256.0,5276049,173090,755542.0,3433108.0,2622526,981169,,495245,28653.0,1528440,334788,2310945,339097,11213045,28653.0
1/26/2015,424153.0,,1172592,2206880,1251400,289383,183462,1262109,393864.0,527685,24335.0,879468.0,1241080.0,2841.0,306011.0,1309663.0,1309663.0,3658603.0,20602407.0,2664823,188358,718609.0,1660507.0,2206880,660101,,472449,133456.0,1172592,289383,1182674,296954,4959397,133456.0
1/27/2015,749253.0,,1173591,1840855,1440640,182589,264437,322513,336408.0,749891,24035.0,688037.0,1108075.0,3226.0,246024.0,1587182.0,1587182.0,6822018.0,31601527.0,4453355,127809,563785.0,2329306.0,1840855,644594,,388184,35709.0,1173591,182589,1027585,327806,4280539,35709.0
