,date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1,MSCI FRANCE,,,
3545,12/24/2012,31.745,,12.53,28.0958,8.429,47.0132,72.5,8.826,26.305,45.645,15.5009,36.1365,23.395,80,25.585,9.14,9.14,4.5575,0.9717,5.384,330.0198,68.4,12.3717,28.0958,29.75,,18.1964,,12.53,47.0132,26.54,38.9054,4.9918,,101.9,,,
3546,12/27/2012,32.03,,12.715,28.3323,8.451,46.9619,72.8,8.749,26.25,45.375,15.5009,36.1365,23.43,70,25.575,9.076,9.076,4.5682,0.9869,5.324,331.0162,68.62,12.3762,28.3323,30.05,,18.28,,12.715,46.9619,26.56,39.5103,5.0442,,102.48,,,
3547,12/28/2012,31.73,,12.5933,27.7481,8.447,46.7711,72.26,8.692,26.035,44.915,15.4214,35.4557,23.18,70,25.07,9.109,9.109,4.5004,0.9641,5.347,326.4493,67.99,12.2387,27.7481,29.9,,18.1964,,12.5933,46.7711,26.395,39.4801,4.9337,,101.07,,,
3548,12/31/2012,31.875,,12.545,27.9428,8.423,46.7637,72.1,8.85,26.245,45.25,15.1034,35.2993,23.3,70,25.285,9.109,9.109,4.5252,0.9518,5.368,327.9024,68,12.3939,27.9428,30.02,,18.2633,,12.545,46.7637,26.695,39.9716,4.9279,,101.62,,,
3549,1/2/2013,32.48,,12.8333,28.9582,8.593,46.9692,74.42,9,26.24,46.11,15.8983,36.3484,23.6,70,25.87,9.2,9.2,4.5459,1.0021,5.588,337.4098,68.8,12.6067,28.9582,30.44,,18.3969,,12.8333,46.9692,26.98,39.9716,5.0689,,104.14,,,
3550,1/3/2013,32.715,,12.7967,28.9396,8.571,47.2187,73.19,8.98,26.3,46.365,15.8983,38.2044,23.58,60,25.84,9.208,9.208,4.6724,1.0998,5.66,337.4098,69.64,12.5756,28.9396,30.295,,18.4804,,12.7967,47.2187,26.91,40.2438,4.9802,,103.86,,,
3551,1/4/2013,33.095,,12.69,29.4172,8.5,47.3949,73.32,9.162,26.525,46.625,15.8189,38.6129,23.94,60,25.93,9.117,9.117,5.1075,1.1473,5.579,332.0956,71.39,12.7973,29.4172,30.545,,18.3384,,12.69,47.3949,27.18,39.9791,4.8857,,104.08,,,
3552,1/7/2013,32.77,,12.7417,29.5794,8.486,47.3362,73.06,9.2,26.48,46.45,16.6138,39.9948,23.645,50,25.87,9.125,9.125,5.3945,1.2289,5.715,332.1787,70.3,12.4692,29.5794,30.36,,18.0461,,12.7417,47.3362,27.13,40.2438,4.7767,,103.45,,,
3553,1/8/2013,32.595,,12.5767,28.5826,8.486,46.8665,73,8.94,26.515,46.48,16.5343,39.1223,23.35,40,25.775,9.199,9.199,5.1406,1.1406,5.85,331.6805,70.3,12.5269,28.5826,30.19,,17.9042,,12.5767,46.8665,26.885,39.6615,4.829,,103.48,,,
3554,1/9/2013,32.575,,12.6083,28.5734,8.54,46.683,71.7,8.94,26.61,47,16.2163,38.744,23.595,40,25.505,9.156,9.156,5.2217,1.151,5.906,332.4278,69.67,12.5402,28.5734,29.995,,18.2716,,12.6083,46.683,26.73,40.3648,4.8319,,103.72,,,
3555,1/10/2013,32.355,,12.5833,29.5563,8.476,46.9619,70.63,9.097,26.2,46.98,16.6138,39.3391,23.08,30,25.565,9,9,5.086,1.1672,6.029,328.11,66.45,12.3097,29.5563,29.64,,18.3635,,12.5833,46.9619,26.855,40.2892,4.8552,,103.28,,,
3556,1/11/2013,32.1,,13.0067,29.9828,8.52,46.9325,71.53,8.962,26.36,47.5,16.3753,39.1626,22.995,40,25.75,8.978,8.978,5.0455,1.1577,5.962,325.5775,65.49,12.1102,29.9828,29.585,,18.4637,,13.0067,46.9325,26.89,40.5538,4.8479,,103.38,,,
3557,1/14/2013,32.2,,13.1333,29.2456,8.47,46.8518,71.25,8.938,26.38,47.47,16.2958,40.1461,23.105,40,25.515,8.78,8.78,5.2961,1.1956,5.926,317.6892,66.09,12.7352,29.2456,30.07,,18.2716,,13.1333,46.8518,26.92,41.2873,4.797,,103.42,,,
3558,1/15/2013,31.84,,13.1267,29.2178,8.375,46.8371,71.51,8.883,26.165,48,16.3753,40.1108,23.245,50,25.455,8.831,8.831,5.4574,1.1881,5.971,318.0213,65.44,13.0012,29.2178,30.335,,18.5806,,13.1267,46.8371,26.97,41.1512,4.7389,,103.15,,,
3559,1/16/2013,32.335,,13.045,29.445,8.441,46.8665,71.25,8.622,26.01,47.47,16.1368,39.783,23.15,50,25.625,8.817,8.817,5.2746,1.1956,6,322.2561,68.15,12.8726,29.445,30.49,,18.8311,,13.045,46.8665,27.11,41.3629,4.8087,,103.44,,,
